State,Count,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GA, Gilmer County ,14.7681402,19.32087137,9.550186229,28.31123484,13.99906673,27.61795167,22.77281836,0,31.45501932,13.54279523,13.59003398,13.64504685,0,13.57588922,8.989976177,0
GA, Glascock County ,0,0.828356293,0.823255316,0,0,0,0,0,0,0,0,0.788848833,0,0,0,0
GA, Glynn County ,71.93026995,49.52742581,40.12841091,54.74095797,49.66571156,33.57206804,39.76143141,46.43520503,21.2682996,14.19748704,35.31198136,14.14277128,17.72421127,20.98415696,17.32081616,3.404139434
GA, Gordon County ,10.34034507,8.751713877,5.763024435,7.103180804,8.394543547,4.132857596,5.342593829,11.76270699,10.25470114,2.533377245,7.519645073,2.492708827,6.170858737,6.12737589,1.214284847,1.195685965
GA, Grady County ,2.252201527,2.185457963,6.391273781,2.077058885,10.11613321,9.88103237,3.834282318,1.872343612,1.832609453,7.28000728,1.811298882,1.802711278,1.796170564,3.590922149,0,0
GA, Greene County ,0,77.33952049,190.9854851,75.6429652,0,144.7701773,138.264777,167.3360107,66.44518272,32.61578604,65.1678071,0,31.98976328,65.1678071,66.02839221,0
GA, Gwinnett County ,4.165696713,4.754862456,4.538629874,3.445865454,5.435581564,4.519155724,3.431217692,3.565968695,3.713314144,3.64435109,3.131800191,3.581499658,2.973380046,2.136354342,1.709673332,1.389160382
GA, Habersham County ,33.86386725,46.5411466,12.69303998,21.08281329,16.77852349,16.64516666,16.40419948,16.24431449,16.17599482,20.08596794,19.96007984,23.83884938,19.72230988,27.80204941,7.916089452,3.980257921
GA, Hall County ,41.55700235,43.34398873,53.44592608,34.16467373,54.55820841,35.75533138,49.24167816,23.88630121,25.8519389,39.5836729,23.21208886,30.16521255,16.1000966,34.65563847,13.7337484,6.829668078
GA, Hancock County ,0,6.801333061,20.02135611,6.618133686,0,0,0,6.319914049,6.301594303,0,6.249218848,0,0,0,0,0
GA, Haralson County ,2.127765208,0.684237896,1.331300881,4.558449085,5.115580139,1.863597115,1.20102808,1.159783352,3.384533809,2.240858697,1.666648148,0.546812629,1.081496142,1.067389645,0.525720895,0
GA, Harris County ,3.877772607,7.624275694,7.497375918,18.36412385,3.620433728,7.14617501,14.22424523,10.50493732,6.982021295,6.950719399,10.42281903,0,14.08946812,7.031112674,0,0
